id,location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,magneticfield,proximity
1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,1,1,0,1,1,0,0,1,0
3,1,1,0,0,0,1,0,1,1,0,1,0
4,0,1,1,1,0,1,1,1,1,1,0,0
5,0,0,0,1,1,0,0,0,1,1,1,1
6,0,0,0,0,0,1,1,0,0,0,0,1
7,1,1,1,0,0,0,0,0,1,1,0,1
8,1,1,1,1,1,1,1,0,0,1,1,1
9,1,0,0,1,1,1,0,1,0,1,1,0
10,0,0,1,0,1,1,1,0,1,1,1,0
11,1,1,1,1,0,0,0,1,0,0,0,1
12,1,0,0,1,0,0,1,1,1,0,0,1
13,0,1,0,0,0,0,1,0,0,1,1,0
14,1,0,1,0,0,1,0,0,0,0,1,0
15,0,1,1,0,1,0,0,1,1,0,0,0
16,0,0,1,0,0,1,0,1,1,1,1,1
17,1,0,0,0,1,1,0,1,1,1,0,1
18,0,1,0,0,1,0,1,1,0,1,0,1
19,1,1,0,0,1,1,1,0,1,0,0,1
20,0,0,1,1,1,1,0,0,0,0,0,0
21,0,1,0,1,0,0,0,0,0,0,1,1
22,1,0,0,0,0,0,0,0,0,0,0,0
